"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,0,"BDI","Burundi","SSA","N","1981","1992","X",487.3273,1.9,39.22869,0.846095,0.4063658,0.23128,0.6354493,0.3333381,31.86121,0.1824366,0.2822712,4.223195,"BDI_N1992X",0.03414,0.04526,0.05545,0.06542,0.07575,0.08721,0.101,0.1195,0.1505,0.2658
0,1,"CPV","Cabo Verde","SSA","N","1981","2001.77","X",47.56514,1.9,70.21932,0.6577258,0.3191278,0.1904643,0.5170144,0.524963,40.59555,0.4786267,-1,0.291602,"CPV_N2001X",0.01587,0.02564,0.03348,0.04232,0.05217,0.06488,0.08098,0.1046,0.1537,0.4264
0,1,"CMR","Cameroon","SSA","N","1981","1996","X",230.3753,1.9,128.8128,0.2493511,0.06626301,0.02505369,0.08474953,0.4444676,82.36742,0.325144,-1,8.883016,"CMR_N1996X",0.0248,0.03617,0.04427,0.05116,0.05977,0.07018,0.08501,0.1113,0.1558,0.3615
0,1,"CAN","Canada","OHI","N","1981","1981","Y",1.284584,1.9,1274.099,0.004947209,0.00354031,0.00285804,0.001812345,0.3243864,1080.318,0.1977034,-1,24.9,"CAN_N1981Y",0.02634,0.04624,0.05865,0.06825,0.07892,0.09082,0.1056,0.126,0.1565,0.2427
0,0,"CAF","Central African Republic","SSA","N","1981","1992.43","X",267.8691,1.9,45.30418,0.7909157,0.525687,0.3993243,1.151342,0.6133075,21.30784,0.7409222,0.7126964,2.346797,"CAF_N1992X",0.006934,0.01297,0.02021,0.02909,0.04034,0.05523,0.07624,0.1091,0.1725,0.4773
0,1,"TCD","Chad","SSA","N","1981","2003","X",251.2962,1.9,43.20025,0.7952042,0.3999821,0.2411314,0.6489339,0.3982457,31.7774,0.2676824,-1,4.610167,"TCD_N2003X",0.02465,0.03832,0.04741,0.05686,0.06726,0.0815,0.09852,0.1207,0.1577,0.3071
0,1,"CHL","Chile","LAC","N","1981","1987","Y",391.6442,1.9,364.9104,0.077535,0.02842147,0.01631826,0.04260474,0.5621016,191.1389,0.5916716,-1,11.439144,"CHL_N1987Y",0.0116,0.02183,0.02942,0.0376,0.04707,0.05912,0.07618,0.1032,0.1601,0.4539
0,0,"CHN","China","EAP","A","1981","1981","Y",3.696112,1.9,34.63933,0.8831546,0.4318482,0.2476459,0.6810142,-1,-1,-1,-1,993.885,"CHN_R1981Y",0,0,0,0,0,0,0,0,0,0
0,0,"CHN","China","EAP","R","1981","1981","Y",3.696112,1.9,29.20024,0.9559393,0.5048825,0.2978553,0.8080193,0.2472923,26.64948,0.1019581,0.2028512,793.9352157,"CHN_R1981Y",0.04133,0.05658,0.06791,0.07757,0.08668,0.09607,0.1067,0.1203,0.1417,0.2052
0,0,"CHN","China","EAP","U","1981","1981","Y",3.696112,1.9,56.23616,0.5941505,0.1418531,0.04828093,0.1767184,0.1846182,53.54599,0.05896937,-1.598672,199.9497843,"CHN_U1981Y",0.05232,0.06765,0.07631,0.08396,0.09142,0.09918,0.1077,0.1178,0.1318,0.1718
0,1,"COL","Colombia","LAC","N","1981","1992","Y",1196.955,1.9,277.714,0.09557514,0.04915543,0.03846268,0.03267596,0.5145367,168.5661,0.7018257,-1,28.375991,"COL_N1992Y",0.01062,0.02617,0.03545,0.04453,0.05498,0.06739,0.08422,0.1099,0.1622,0.4046
0,1,"COM","Comoros","SSA","N","1981","2004","X",220.5725,1.9,271.9012,0.1109283,0.02786867,0.01067483,0.03697601,0.5592516,145.5895,0.546712,-1,0.317606,"COM_N2004X",0.01539,0.02471,0.0324,0.04026,0.0483,0.05937,0.07307,0.09246,0.1331,0.481
0,1,"ZAR","Congo, Democratic Republic of","SSA","N","1981","2004.89","X",537.7323,1.9,64.56983,0.6173666,0.26614,0.14478,0.4048468,0.4216363,45.90032,0.3008181,-1,27.039468,"ZAR_N2004X",0.02205,0.03486,0.04467,0.05422,0.06519,0.07816,0.09598,0.1199,0.161,0.324
0,1,"COG","Congo, Republic of","SSA","N","1981","2005","X",296.5003,1.9,89.67424,0.50436,0.2007792,0.1032671,0.2938255,0.4733054,57.23676,0.3799083,-1,1.894676,"COG_N2005X",0.01961,0.02935,0.03871,0.04742,0.05776,0.07086,0.08901,0.1147,0.164,0.3685
0,0,"CRI","Costa Rica","LAC","N","1981","1981","Y",343.7857,1.9,166.3908,0.2469525,0.1075672,0.062318,0.1793092,0.4749476,116.8161,0.4370442,0.4750657,2.454129,"CRI_N1981Y",0.01065,0.02282,0.03514,0.04812,0.06241,0.07899,0.09964,0.1283,0.1766,0.3373
0,1,"CIV","Cote d'Ivoire","SSA","N","1981","1985.08","X",235.6879,1.9,322.1227,0.04269102,0.01349564,0.007860391,0.02350537,0.4552627,219.6005,0.3667627,-1,8.664057,"CIV_N1985X",0.0179,0.03159,0.04169,0.05165,0.06206,0.07569,0.09159,0.1149,0.1568,0.3561
0,0,"HRV","Croatia","ECA","N","1981","1988","Y",4.358503,1.9,605.1922,0.0004523226,0.0004423226,0.0004323226,0,0.2278073,563.6533,0.08802812,0.1812014,4.608,"HRV_N1988Y",0.04312,0.05997,0.07132,0.08054,0.08896,0.09747,0.107,0.119,0.1378,0.1949
0,1,"CYP","Cyprus","OHI","N","1981","2004","Y",0.7115528,1.9,467.5946,0.002450742,0.0009009235,0.0003311908,0.00112306,0.3008683,396.8311,0.1518387,-1,0.689173,"CYP_N2004Y",0.03658,0.05125,0.06031,0.0695,0.07956,0.09025,0.1026,0.1204,0.1468,0.2427
0,0,"CZE","Czech Republic","ECA","N","1981","1993","Y",14.90097,1.9,509.6229,0.000161023,7.906024E-05,6.906024E-05,0,0.2660468,433.3208,0.1212092,-1.52853,10.300591,"CZE_N1993Y",0.04644,0.05794,0.06564,0.07305,0.08086,0.08961,0.1001,0.114,0.1361,0.2363
0,1,"DNK","Denmark","OHI","N","1981","2003","Y",8.523886,1.9,988.6328,0.002238577,0.001976967,0.00174593,0.004805646,0.2563006,885.4355,0.1210933,-1,5.121572,"DNK_N2003Y",0.03985,0.05843,0.06762,0.07579,0.08476,0.09385,0.1049,0.1203,0.1408,0.2136
0,0,"DOM","Dominican Republic","LAC","N","1981","1986","Y",20.74103,1.9,405.412,0.05277091,0.01726721,0.009020845,0.02141971,0.477808,277.6032,0.4171547,0.4355326,5.943591,"DOM_N1986Y",0.01376,0.02547,0.03696,0.04878,0.06156,0.0762,0.0943,0.1194,0.1625,0.3611
0,0,"ECU","Ecuador","LAC","N","1981","1987","Y",0.5472345,1.9,233.5114,0.1688765,0.06957684,0.03851968,0.1101606,0.5049197,154.5379,0.4885518,0.4523506,8.183194,"ECU_N1987Y",0.01035,0.0225,0.0343,0.04632,0.05923,0.07393,0.09202,0.117,0.1599,0.3844
0,0,"EGY","Egypt, Arab Republic of","MNA","N","1981","1990.5","X",2.777,1.9,116.4155,0.1591555,0.02815032,0.007603011,0.03262113,0.3200394,94.43559,0.1693378,0.2553803,45.216506,"EGY_N1990X",0.03849,0.04866,0.05792,0.06691,0.07621,0.08649,0.09884,0.1155,0.1436,0.2673
0,0,"SLV","El Salvador","LAC","N","1981","1989","Y",0.5307735,1.9,249.6009,0.160517,0.1012556,0.1000163,0.05283653,-1,-1,-1,-1,4.655364,"SLV_N1989Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"EST","Estonia","ECA","N","1981","1993","Y",0.6085634,1.9,428.2048,0.007409902,0.003457363,0.003372628,0.001623907,0.3950347,323.0136,0.2691692,-1.288899,1.487666,"EST_N1993Y",0.02498,0.03909,0.04912,0.05903,0.06968,0.08184,0.09667,0.1167,0.1495,0.3135
0,0,"SWZ","Eswatini","SSA","N","1981","1994.83","X",4.049069,1.9,29.45726,0.9098341,0.644686,0.502452,1.426285,0.6045472,14.85238,0.6925939,-1.152871,0.621276,"SWZ_N1994X",0.008705,0.0167,0.02475,0.03379,0.0444,0.05744,0.07454,0.0995,0.1449,0.4953
0,1,"ETH","Ethiopia","SSA","N","1981","1995.25","X",5.438614,1.9,80.49145,0.5531791,0.1894106,0.08632618,0.2614322,0.4456451,53.63447,0.3411386,-1,36.120288,"ETH_N1995X",0.02591,0.03754,0.04585,0.05325,0.06187,0.07173,0.0845,0.1031,0.1358,0.3805
0,1,"FJI","Fiji","EAP","N","1981","2002.5","X",1.216541,1.9,181.5389,0.07660484,0.01578548,0.004952179,0.01926439,0.3810205,137.434,0.2401027,-1,0.650955,"FJI_N2002X",0.02717,0.03972,0.04985,0.05985,0.06999,0.08236,0.09768,0.1192,0.1579,0.2962
0,1,"FIN","Finland","OHI","N","1981","2003","Y",0.9802463,1.9,765.3203,0,0,0,0,0.2768374,662.4909,0.1319045,-1,4.799964,"FIN_N2003Y",0.03864,0.05507,0.06523,0.07375,0.08199,0.09152,0.1029,0.1186,0.1423,0.23
0,1,"FRA","France","OHI","N","1981","2003","Y",0.8797541,1.9,909.6438,0.002475366,0.0007243828,0.0002119809,0.0008569984,0.314088,763.6211,0.1681442,-1,55.585824,"FRA_N2003Y",0.03304,0.04945,0.05919,0.06875,0.07879,0.08961,0.1027,0.1201,0.1469,0.2514
